Fe V ,1200.183    ,5.0e+07 
Fe II ,1200.477    ,5.e+06 
Al V ,1200.56     ,5.41e+07 
Fe II ,1200.889    ,2.3e+07 
Ni V ,1200.939    ,8.41e+07 
S III ,1200.970    ,6.62e+07 
Ni V ,1201.0770   ,5.12e+08 
Mn II ,1201.124    ,5.4e+08 
Ni V ,1201.189    ,9.20e+07 
Ni V ,1201.316    ,2.13e+08 
Cl I ,1201.353    ,2.39e+08 
Fe II ,1201.415    ,1.6e+07 
Fe II ,1201.506    ,9.e+06 
Fe II ,1201.548    ,1.4e+07 
Mn II ,1201.57     ,1.0e+08 
Ni V ,1201.586    ,5.49e+08 
Ni V ,1201.636    ,1.10e+09 
Fe II ,1201.651    ,8.e+06 
S III ,1201.730    ,1.36e+07 
Ni V ,1201.752    ,8.37e+07 
Ni V ,1201.826    ,6.14e+07 
Ni V ,1201.849    ,2.53e+08 
Al V ,1202.00     ,5.59e+07 
Ni V ,1202.032    ,6.35e+08 
S III ,1202.120    ,1.36e+06 
Ni V ,1202.2610   ,3.96e+08 
Ni V ,1202.419    ,5.52e+07 
Ni V ,1203.278    ,5.64e+08 
Ni V ,1203.278    ,1.73e+08 
Ni V ,1203.307    ,3.90e+08 
Ni V ,1203.354    ,2.00e+08 
Ni V ,1203.7730   ,1.08e+09 
S II ,1203.861    ,3.68e+06 
Ni V ,1203.864    ,2.38e+08 
Fe II ,1204.029    ,1.0e+07 
Fe II ,1204.029    ,1.1e+07 
S II ,1204.290    ,5.91e+07 
S II ,1204.335    ,5.79e+07 
Al IV ,1204.722    ,1.42e+07 
Ni V ,1204.7250   ,5.01e+07 
S II ,1204.735    ,4.79e+06 
Fe II ,1204.755    ,7.e+06 
Fe II ,1205.118    ,3.6e+07 
Ni V ,1205.3060   ,4.46e+08 
Ni V ,1205.4450   ,3.53e+08 
Fe II ,1205.533    ,7.e+06 
Ni V ,1205.5510   ,2.54e+08 
Ni V ,1205.796    ,1.25e+07 
Ni V ,1205.796    ,4.71e+07 
Ni V ,1205.951    ,3.41e+08 
Fe II ,1205.994    ,4.1e+07 
Si III ,1206.51     ,2.55e+09 
Si III ,1206.53     ,4.17e+09 
Ni V ,1207.3380   ,4.78e+08 
Fe II ,1207.355    ,5.e+06 
Ni V ,1207.388    ,6.00e+07 
Ni V ,1207.388    ,2.24e+08 
Ni V ,1207.446    ,1.45e+08 
Si III ,1207.52     ,2.43e+09 
Ni V ,1207.630    ,2.94e+07 
Fe II ,1207.889    ,7.e+07 
Ni V ,1207.984    ,4.38e+07 
Ni V ,1207.984    ,2.01e+07 
Ni V ,1208.205    ,4.83e+07 
Fe II ,1208.230    ,5.e+06 
Fe V ,1208.257    ,5.3e+07 
Ni V ,1208.261    ,1.38e+07 
Fe VII ,1208.375    ,5.8e+08 
Al IV ,1208.401    ,2.86e+07 
Fe II ,1208.847    ,2.1e+07 
Ni V ,1208.903    ,3.43e+08 
Ni V ,1208.961    ,2.99e+08 
Fe II ,1208.995    ,2.3e+07 
Ni V ,1209.094    ,3.12e+08 
Al II ,1209.1914   ,2.51e+07 
Ni V ,1209.220    ,1.57e+08 
Ni V ,1209.426    ,1.31e+07 
Fe II ,1209.508    ,5.e+06 
Ni V ,1209.602    ,7.67e+08 
Ni V ,1209.767    ,3.57e+08 
Ni V ,1209.767    ,2.98e+08 
Fe II ,1209.930    ,6.e+06 
Al II ,1210.0817   ,7.47e+07 
Ni V ,1210.3990   ,5.35e+08 
Si III ,1210.46     ,1.60e+09 
Ni V ,1210.505    ,7.26e+07 
Ni V ,1210.505    ,3.06e+08 
Ni V ,1210.505    ,1.44e+08 
Ni V ,1210.505    ,2.84e+08 
Ni V ,1210.505    ,2.43e+08 
Ni V ,1210.634    ,4.06e+07 
Ni V ,1210.7400   ,7.72e+07 
Ni V ,1210.795    ,1.91e+08 
Fe II ,1210.811    ,4.7e+06 
Mg IV ,1210.967    ,3.79e+08 
Fe II ,1211.272    ,3.1e+07 
Ni V ,1211.444    ,4.57e+08 
Al IV ,1211.724    ,1.41e+08 
Al II ,1211.8983   ,1.24e+08 
Fe II ,1211.986    ,7.e+06 
Ni V ,1211.995    ,1.05e+08 
Ni V ,1212.471    ,3.28e+07 
Ni V ,1212.589    ,1.34e+08 
Ni V ,1212.589    ,4.42e+08 
Ni V ,1212.7780   ,4.94e+08 
Ni V ,1212.886    ,1.71e+08 
Fe II ,1212.961    ,5.e+06 
Fe II ,1213.090    ,3.7e+07 
Fe II ,1213.132    ,1.1e+07 
Ni V ,1213.234    ,8.04e+07 
Fe II ,1213.412    ,6.e+06 
Al V ,1213.48     ,2.17e+08 
Ni V ,1213.586    ,1.11e+08 
Fe II ,1213.749    ,1.7e+07 
Fe II ,1213.749    ,1.7e+07 
Ni V ,1213.856    ,1.74e+08 
Ni V ,1213.940    ,3.55e+08 
Fe II ,1214.150    ,2.0e+07 
Ni V ,1214.161    ,6.68e+08 
Ni V ,1214.161    ,5.33e+07 
Fe II ,1214.398    ,6.e+06 
Ni V ,1214.407    ,1.06e+09 
Ni V ,1214.5890   ,3.23e+08 
Fe V ,1214.711    ,6.7e+07 
Ni V ,1215.071    ,6.31e+08 
Ni V ,1215.071    ,2.22e+08 
Ni V ,1215.2760   ,2.85e+08 
Ni V ,1216.149    ,3.06e+08 
Ni V ,1216.537    ,4.41e+07 
Al IV ,1216.723    ,5.05e+08 
Fe II ,1216.844    ,7.e+06 
Ni V ,1217.061    ,2.50e+08 
Ni V ,1217.1050   ,8.74e+08 
Ni V ,1217.501    ,4.85e+07 
Ni V ,1217.570    ,1.17e+08 
Ni V ,1217.570    ,1.21e+08 
Ni V ,1217.7560   ,6.48e+08 
Fe V ,1217.993    ,8.9e+07 
Ni V ,1218.060    ,3.41e+07 
Fe II ,1218.212    ,9.e+06 
Fe II ,1218.460    ,1.0e+07 
Ni V ,1218.725    ,4.28e+07 
Fe II ,1218.808    ,7.e+06 
Mg IV ,1218.992    ,2.25e+08 
Al IV ,1219.171    ,3.06e+08 
Fe II ,1219.798    ,1.1e+08 
Ni V ,1219.886    ,5.25e+07 
Ni V ,1220.317    ,1.34e+08 
Al IV ,1220.546    ,5.47e+08 
Ni V ,1220.836    ,6.09e+07 
Ni V ,1220.879    ,3.66e+07 
Mg IV ,1220.900    ,3.25e+08 
Ni V ,1221.113    ,1.08e+08 
Ni V ,1221.692    ,1.53e+08 
Ni V ,1221.871    ,6.43e+07 
Ni V ,1222.190    ,2.78e+08 
Mn II ,1222.785    ,4.7e+08 
Ni V ,1222.789    ,2.46e+08 
Ni V ,1223.205    ,1.95e+08 
Ni V ,1223.391    ,1.67e+08 
Ni V ,1223.445    ,1.17e+09 
Fe II ,1223.624    ,5.e+06 
Ni V ,1223.686    ,3.11e+08 
Fe II ,1224.130    ,1.3e+08 
Si II ,1224.25     ,6.72e+08 
Ni V ,1224.337    ,2.44e+08 
Fe V ,1224.417    ,7.0e+06 
Ni V ,1224.5630   ,2.56e+08 
Mn II ,1224.733    ,3.9e+08 
Ni V ,1224.7580   ,1.55e+08 
Ni V ,1224.877    ,7.81e+08 
Ni V ,1224.9470   ,3.99e+08 
Si II ,1224.97     ,4.39e+08 
Ni V ,1225.1130   ,8.87e+08 
Al IV ,1225.236    ,1.38e+07 
Ni V ,1226.2740   ,2.04e+08 
Mn II ,1226.40     ,3.e+08 
Fe VII ,1226.653    ,2.7e+08 
S IV ,1226.703    ,7.45e+06 
S II ,1226.706    ,7.30e+06 
Si II ,1226.81     ,2.77e+09 
S IV ,1226.868    ,2.17e+07 
Si II ,1226.89     ,6.55e+08 
Si II ,1226.99     ,1.39e+09 
Ni V ,1227.060    ,8.90e+07 
Ni V ,1227.1880   ,1.11e+09 
S II ,1227.408    ,3.31e+06 
Ni V ,1227.483    ,2.30e+07 
S IV ,1227.529    ,2.21e+07 
Si II ,1227.60     ,1.46e+09 
Mn II ,1227.638    ,4.e+08 
Ni V ,1228.1670   ,7.61e+07 
Al IV ,1228.310    ,2.21e+08 
Mn II ,1228.423    ,5.e+08 
Ni V ,1228.4320   ,2.99e+08 
Si II ,1228.44     ,5.53e+08 
Fe II ,1228.521    ,1.4e+08 
Si II ,1228.62     ,1.77e+09 
Si II ,1228.75     ,2.32e+09 
Fe II ,1228.756    ,1.3e+07 
Mg IV ,1229.066    ,7.49e+07 
S IV ,1229.110    ,6.52e+07 
Mg III ,1229.389    ,5.72e+07 
Si II ,1229.39     ,2.25e+09 
Ni V ,1229.397    ,4.59e+08 
Ni V ,1229.397    ,7.52e+08 
S IV ,1229.414    ,7.24e+07 
Ni V ,1229.684    ,5.23e+07 
Al IV ,1229.908    ,5.40e+07 
Ni V ,1230.070    ,4.25e+08 
Ni V ,1230.439    ,1.09e+09 
